Campaign Name,Country,Action,Negative Keyword ID,Negative Keyword,Match Type,Status,Campaign ID,Ad Group ID,Level,Negative Group,Notes
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,teamviewer,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,team viewer,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,teamviewer remote,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,anydesk,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,remote desktop,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,time tracker,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,time tracking,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,timesheet,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,time clock,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,pomodoro,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,stopwatch,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,timer,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,todo,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,to do,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,to do list,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,notes,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,notion,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
